id,title,slug,category,ot_nt,bible_reference,story_summary,tags
100,Jesus at Age 12 in the Temple,jesus-at-age-12-in-the-temple,Nativity & Childhood of Jesus,NT,Luke 2:46-47,"Young Jesus speaks with teachers in the temple, amazing them with His understanding.",young Jesus;temple;teachers;wisdom;Luke;Luke 2:46-47;New Testament;kids coloring;simple outlines
101,Joseph as a Carpenter,joseph-as-a-carpenter,Nativity & Childhood of Jesus,NT,Matthew 13:55,Joseph works with wood and tools in his carpenter’s workshop.,Joseph;carpenter;wood;tools;Nazareth;Matthew;Matthew 13:55;New Testament;kids coloring;simple scene
102,Mary Riding a Donkey,mary-riding-a-donkey,Nativity & Childhood of Jesus,NT,Luke 2:4-5,Mary rides gently on a donkey while Joseph leads the way to Bethlehem.,Mary;Joseph;donkey;journey;Bethlehem;Luke;Luke 2:4-5;New Testament;kids coloring;friendly animals
103,Angels Singing Glory,angels-singing-glory,Nativity & Childhood of Jesus,NT,Luke 2:13-14,A group of joyful angels sing praises in the sky on the night Jesus was born.,angels;glory;song;praise;Nativity;Luke;Luke 2:13-14;New Testament;kids coloring;simple outlines
104,Shepherd Boy Playing Flute,shepherd-boy-playing-flute,Nativity & Childhood of Jesus,NT,Luke 2:8,A young shepherd plays a flute while watching over sheep near Bethlehem.,shepherd boy;flute;sheep;Bethlehem;Nativity;Luke;Luke 2:8;New Testament;kids coloring;friendly animals
105,Little Town of Bethlehem Houses,little-town-of-bethlehem-houses,Nativity & Childhood of Jesus,NT,Luke 2:4,A peaceful view of Bethlehem’s simple homes beneath the night sky.,Bethlehem;houses;night sky;Nativity;Luke;Luke 2:4;New Testament;kids coloring;simple scene
106,Camel Caravan with Wise Men,camel-caravan-with-wise-men,Nativity & Childhood of Jesus,NT,Matthew 2:1-2,"The wise men travel on decorated camels through the desert, following the special star.",wise men;camels;caravan;star;journey;Matthew;Matthew 2:1-2;New Testament;kids coloring;friendly animals
107,Escape to Egypt (Holy Family),escape-to-egypt-holy-family,Nativity & Childhood of Jesus,NT,Matthew 2:13-14,"Mary, Joseph, and baby Jesus travel safely on their way to Egypt by night.",Mary;Joseph;baby Jesus;Egypt;journey;donkey;Matthew;Matthew 2:13-14;New Testament;kids coloring;simple outlines
108,Angel Appearing in Joseph’s Dream,angel-appearing-in-joseph-s-dream,Nativity & Childhood of Jesus,NT,Matthew 1:20,An angel appears to Joseph in a dream to reassure him about God’s plan.,angel;Joseph;dream;message;Matthew;Matthew 1:20;New Testament;kids coloring;simple outlines
109,Young Jesus Helping Joseph,young-jesus-helping-joseph,Nativity & Childhood of Jesus,NT,Luke 2:51,A young Jesus helps Joseph with simple carpentry tasks in the workshop.,Jesus;Joseph;carpenter;wood;Nazareth;Luke;Luke 2:51;New Testament;kids coloring;simple outlines
110,Jesus Reading a Scroll as a Child,jesus-reading-a-scroll-as-a-child,Nativity & Childhood of Jesus,NT,Luke 4:16,Jesus reads from a scroll in a simple scene showing His early love for Scripture.,Jesus;scroll;reading;Nazareth;synagogue;Luke;Luke 4:16;New Testament;kids coloring;simple outlines
111,Friendly Cow and Donkey in the Stable,friendly-cow-and-donkey-in-the-stable,Nativity & Childhood of Jesus,NT,Luke 2:7,A gentle cow and donkey stand near the manger on the night Jesus was born.,cow;donkey;stable;Nativity;Bethlehem;Luke;Luke 2:7;New Testament;kids coloring;friendly animals
112,Baby Jesus with Halo Shape (No Facial Details),baby-jesus-with-halo-shape-no-facial-details,Nativity & Childhood of Jesus,NT,Luke 2:7,A simple outline of baby Jesus with a soft halo shape above Him in the manger.,baby Jesus;halo;manger;Nativity;Luke;Luke 2:7;New Testament;kids coloring;simple outlines
113,Manger Close-Up,manger-close-up,Nativity & Childhood of Jesus,NT,Luke 2:7,A close-up illustration of the wooden manger filled with gentle lines of hay.,manger;hay;Nativity;baby Jesus;Luke;Luke 2:7;New Testament;kids coloring;simple outlines
114,"Nativity Animals (Sheep, Cow, Donkey)",nativity-animals-sheep-cow-donkey,Nativity & Childhood of Jesus,NT,Luke 2:7,Friendly stable animals gather near the manger in a kid-friendly scene.,sheep;cow;donkey;animals;stable;Nativity;Luke;Luke 2:7;New Testament;kids coloring;friendly animals
115,Little Drummer Boy (Symbolic),little-drummer-boy-symbolic,Nativity & Childhood of Jesus,NT,Christmas tradition,A young drummer joyfully plays his drum near the manger in a symbolic Christmas scene.,drummer boy;Nativity;drum;Christmas;symbolic;New Testament theme;kids coloring;simple outlines
116,Shepherd Watching Sheep at Night,shepherd-watching-sheep-at-night,Nativity & Childhood of Jesus,NT,Luke 2:8,A shepherd keeps watch over his sheep under the starry night sky.,shepherd;sheep;night sky;Bethlehem;Luke;Luke 2:8;New Testament;kids coloring;friendly animals
117,Bethlehem Star Shining Over Hills,bethlehem-star-shining-over-hills,Nativity & Childhood of Jesus,NT,Matthew 2:9-10,"The bright Bethlehem star shines above rolling hills, guiding the wise men.",Bethlehem star;star;hills;Nativity;Matthew;Matthew 2:9-10;New Testament;kids coloring;simple outlines
118,Mary Caring for Toddler Jesus,mary-caring-for-toddler-jesus,Nativity & Childhood of Jesus,NT,Luke 2:40,Mary lovingly cares for young Jesus as He grows strong and wise.,Mary;Jesus;toddler;motherhood;Nazareth;Luke;Luke 2:40;New Testament;kids coloring;simple outlines
119,Joseph Teaching Jesus Woodworking,joseph-teaching-jesus-woodworking,Nativity & Childhood of Jesus,NT,Matthew 13:55,Joseph shows young Jesus how to work with simple wooden tools.,Joseph;Jesus;carpenter;workshop;wood;Matthew;Matthew 13:55;New Testament;kids coloring;simple outlines
120,Guardian Angel with Child Jesus (Symbolic),guardian-angel-with-child-jesus-symbolic,Nativity & Childhood of Jesus,NT,Matthew 18:10,A gentle angel stands watch beside young Jesus in a symbolic protective scene.,angel;Jesus;guardian;protection;symbolic;Matthew;Matthew 18:10;New Testament;kids coloring;simple outlines
121,Jesus Calling His First Disciples,jesus-calling-his-first-disciples,Jesus' Ministry & Passion,NT,Matthew 4:18-20,Jesus calls Peter and Andrew to follow Him and become fishers of people.,Jesus;Peter;Andrew;disciples;calling;Galilee;Matthew;Matthew 4:18-20;New Testament;kids coloring;simple outlines
122,Jesus Teaching on a Hillside,jesus-teaching-on-a-hillside,Jesus' Ministry & Passion,NT,Matthew 5:1-2,Jesus sits on a hillside and teaches a large crowd gathered to hear Him.,Jesus;teaching;crowd;hillside;Sermon on the Mount;Matthew;Matthew 5:1-2;New Testament;kids coloring
123,Sermon on the Mount (Jesus and Crowd),sermon-on-the-mount-jesus-and-crowd,Jesus' Ministry & Passion,NT,Matthew 5–7,Jesus gently teaches His followers important lessons about love and kindness.,Jesus;sermon;crowd;teaching;mountain;Beatitudes;Matthew;New Testament;kids coloring;simple outlines
124,Jesus Calming the Storm,jesus-calming-the-storm,Jesus' Ministry & Passion,NT,Mark 4:39,Jesus stands in the boat and commands the angry waves to be still.,Jesus;storm;boat;waves;miracle;Mark;Mark 4:39;New Testament;kids coloring
125,Jesus Walking on Water,jesus-walking-on-water,Jesus' Ministry & Passion,NT,Matthew 14:25,Jesus walks calmly across the water toward His disciples’ boat.,Jesus;water;miracle;boat;Matthew;Matthew 14:25;New Testament;kids coloring
126,Peter Stepping Out of the Boat,peter-stepping-out-of-the-boat,Jesus' Ministry & Passion,NT,Matthew 14:28-29,Peter bravely steps out of the boat to walk toward Jesus on the water.,Peter;Jesus;boat;faith;water;Matthew;Matthew 14:28-29;New Testament;kids coloring
127,"Feeding the 5,000 (Loaves and Fish)",feeding-the-5-000-loaves-and-fish,Jesus' Ministry & Passion,NT,John 6:9-11,Jesus blesses a small lunch of bread and fish and multiplies it for a huge crowd.,Jesus;miracle;loaves;fish;boy's lunch;crowd;John;John 6:9-11;New Testament;kids coloring
128,Jesus Healing a Blind Man,jesus-healing-a-blind-man,Jesus' Ministry & Passion,NT,John 9:6-7,"Jesus gently heals a man who could not see, giving him sight.",Jesus;blind man;healing;miracle;John;John 9:6-7;New Testament;kids coloring
129,Jesus Healing a Child,jesus-healing-a-child,Jesus' Ministry & Passion,NT,Mark 5:41-42,Jesus lovingly takes the hand of a child and restores her to health.,Jesus;child;healing;miracle;Mark;Mark 5:41-42;New Testament;kids coloring
130,Jesus Blessing Little Children,jesus-blessing-little-children,Jesus' Ministry & Passion,NT,Mark 10:14-16,Jesus welcomes little children and blesses them with open arms.,Jesus;children;blessing;welcome;Mark;Mark 10:14-16;New Testament;kids coloring
131,Jesus with a Shepherd’s Staff,jesus-with-a-shepherd-s-staff,Jesus' Ministry & Passion,NT,John 10:11,Jesus holds a shepherd’s staff as a symbol that He lovingly cares for His people.,Jesus;shepherd;staff;Good Shepherd;John;John 10:11;New Testament;kids coloring
132,Good Samaritan Helping the Injured Man,good-samaritan-helping-the-injured-man,Jesus' Ministry & Passion,NT,Luke 10:33-34,The Good Samaritan gently helps an injured man on the roadside.,Good Samaritan;injured man;helping;compassion;Luke;Luke 10:33-34;New Testament;kids coloring
133,Samaritan Putting the Man on a Donkey,samaritan-putting-the-man-on-a-donkey,Jesus' Ministry & Passion,NT,Luke 10:34,The Samaritan lifts the man onto his donkey to take him to safety.,Good Samaritan;donkey;help;kindness;Luke;Luke 10:34;New Testament;kids coloring
134,Prodigal Son Returning Home,prodigal-son-returning-home,Jesus' Ministry & Passion,NT,Luke 15:20,The prodigal son walks up the road while his father runs joyfully to meet him.,Prodigal Son;father;welcome;forgiveness;Luke;Luke 15:20;New Testament;kids coloring
135,Father Hugging Prodigal Son,father-hugging-prodigal-son,Jesus' Ministry & Passion,NT,Luke 15:20,The father wraps his arms around his returning son with love and forgiveness.,Prodigal Son;father;hug;forgiveness;Luke;Luke 15:20;New Testament;kids coloring
136,Lost Sheep Being Found,lost-sheep-being-found,Jesus' Ministry & Passion,NT,Luke 15:4-6,The shepherd joyfully finds the lost sheep and carries it home.,shepherd;lost sheep;found;joy;Luke;Luke 15:4-6;New Testament;kids coloring
137,Shepherd Carrying Sheep on Shoulders,shepherd-carrying-sheep-on-shoulders,Jesus' Ministry & Passion,NT,Luke 15:5,The shepherd carries the rescued sheep on his shoulders with a smile.,shepherd;sheep;rescue;joy;Luke;Luke 15:5;New Testament;kids coloring
138,Jesus with a Little Lamb,jesus-with-a-little-lamb,Jesus' Ministry & Passion,NT,John 10:14,Jesus gently holds a little lamb to show His care for everyone.,Jesus;lamb;shepherd;gentle;John;John 10:14;New Testament;kids coloring
139,Jesus Teaching Fishermen,jesus-teaching-fishermen,Jesus' Ministry & Passion,NT,Luke 5:1-3,Jesus teaches fishermen from the boat while people listen from the shore.,Jesus;fishermen;boat;teaching;lake;Luke;Luke 5:1-3;New Testament;kids coloring
140,Miracle of the Large Catch of Fish,miracle-of-the-large-catch-of-fish,Jesus' Ministry & Passion,NT,Luke 5:6,The disciples pull in a net overflowing with fish after Jesus performs a miracle.,fish;boat;miracle;disciples;Luke;Luke 5:6;New Testament;kids coloring
141,Jesus Turning Water into Wine,jesus-turning-water-into-wine,Jesus' Ministry & Passion,NT,John 2:7-9,Jesus performs His first miracle by turning water into wine at a wedding.,Jesus;miracle;wedding;water jars;John;John 2:7-9;New Testament;kids coloring
142,Jesus Calling Zacchaeus Down from the Tree,jesus-calling-zacchaeus-down-from-the-tree,Jesus' Ministry & Passion,NT,Luke 19:5,Jesus looks up and calls Zacchaeus to come down from the sycamore tree.,Zacchaeus;tree;Jesus;calling;Luke;Luke 19:5;New Testament;kids coloring
143,Jesus Visiting Mary and Martha,jesus-visiting-mary-and-martha,Jesus' Ministry & Passion,NT,Luke 10:38-42,"Jesus visits Mary and Martha, who welcome Him warmly into their home.",Mary;Martha;Jesus;home;hospitality;Luke;Luke 10:38-42;New Testament;kids coloring
144,Jesus Raising Jairus’ Daughter (Kid-Friendly),jesus-raising-jairus-daughter-kid-friendly,Jesus' Ministry & Passion,NT,Mark 5:41,"Jesus gently takes the girl’s hand and brings her back to life in a very soft, kid-safe scene.",Jesus;Jairus' daughter;healing;miracle;Mark;Mark 5:41;New Testament;kids coloring
145,Jesus Riding a Donkey on Palm Sunday,jesus-riding-a-donkey-on-palm-sunday,Jesus' Ministry & Passion,NT,Matthew 21:7-9,Jesus rides on a small donkey as crowds cheer and wave palm branches.,Jesus;donkey;palm branches;Palm Sunday;crowd;Matthew;Matthew 21:7-9;New Testament;kids coloring
146,Children Waving Palm Branches,children-waving-palm-branches,Jesus' Ministry & Passion,NT,Matthew 21:8,Happy children wave palm branches to welcome Jesus into Jerusalem.,children;palm branches;Palm Sunday;Jesus;Matthew;Matthew 21:8;New Testament;kids coloring
147,Jesus Washing the Disciples’ Feet,jesus-washing-the-disciples-feet,Jesus' Ministry & Passion,NT,John 13:4-5,Jesus kneels and washes His disciples’ feet to show them how to serve with love.,Jesus;disciples;service;foot washing;John;John 13:4-5;New Testament;kids coloring
148,Last Supper Table (Simple Outline),last-supper-table-simple-outline,Jesus' Ministry & Passion,NT,Luke 22:19-20,Jesus shares bread and cup with His disciples at the Last Supper.,Last Supper;bread;cup;disciples;Jesus;Luke;Luke 22:19-20;New Testament;kids coloring
149,Garden of Gethsemane Prayer Scene,garden-of-gethsemane-prayer-scene,Jesus' Ministry & Passion,NT,Matthew 26:39,Jesus kneels in the quiet garden and prays to His Father.,Jesus;Gethsemane;prayer;garden;Matthew;Matthew 26:39;New Testament;kids coloring
150,Angel Comforting Jesus in the Garden,angel-comforting-jesus-in-the-garden,Jesus' Ministry & Passion,NT,Luke 22:43,An angel appears to strengthen and comfort Jesus during His prayer in the garden.,Jesus;angel;Gethsemane;comfort;Luke;Luke 22:43;New Testament;kids coloring
151,Empty Tomb with Stone Rolled Away,empty-tomb-with-stone-rolled-away,Jesus' Ministry & Passion,NT,Matthew 28:2-6,"The stone is rolled away from the tomb, showing that Jesus is risen.",empty tomb;stone rolled away;resurrection;Jesus;Matthew;Matthew 28:2-6;New Testament;kids coloring
152,Angel at the Empty Tomb,angel-at-the-empty-tomb,Jesus' Ministry & Passion,NT,Matthew 28:2-7,A bright angel sits near the empty tomb and announces the good news.,angel;empty tomb;resurrection;Jesus;Matthew;Matthew 28:2-7;New Testament;kids coloring
153,Women Visiting the Tomb,women-visiting-the-tomb,Jesus' Ministry & Passion,NT,Mark 16:1-6,The women arrive at the tomb early in the morning and find it open.,women;tomb;resurrection;Jesus;Mark;Mark 16:1-6;New Testament;kids coloring
154,Jesus Appearing to Mary Magdalene,jesus-appearing-to-mary-magdalene,Jesus' Ministry & Passion,NT,John 20:14-16,The risen Jesus speaks gently to Mary Magdalene outside the empty tomb.,Mary Magdalene;Jesus;resurrection;garden;John;John 20:14-16;New Testament;kids coloring
155,Road to Emmaus Walk,road-to-emmaus-walk,Jesus' Ministry & Passion,NT,Luke 24:13-15,"Two disciples walk with Jesus along the road, though they do not yet recognize Him.",Emmaus;disciples;walk;Jesus;Luke;Luke 24:13-15;New Testament;kids coloring
156,Jesus Showing His Hands to the Disciples,jesus-showing-his-hands-to-the-disciples,Jesus' Ministry & Passion,NT,Luke 24:39,Jesus shows His hands to the disciples to prove He is truly alive.,Jesus;disciples;resurrection;hands;Luke;Luke 24:39;New Testament;kids coloring
157,Jesus Cooking Fish on the Beach,jesus-cooking-fish-on-the-beach,Jesus' Ministry & Passion,NT,John 21:9-12,Jesus cooks breakfast for His disciples on the quiet seashore.,Jesus;fish;breakfast;beach;disciples;John;John 21:9-12;New Testament;kids coloring
158,Great Commission Scene,great-commission-scene,Jesus' Ministry & Passion,NT,Matthew 28:19-20,Jesus speaks to His disciples on a hill before sending them out to teach the world.,Great Commission;Jesus;disciples;hill;teaching;Matthew;Matthew 28:19-20;New Testament;kids coloring
159,Jesus Ascending in the Clouds,jesus-ascending-in-the-clouds,Jesus' Ministry & Passion,NT,Acts 1:9-11,Jesus rises into the sky while His disciples watch in wonder.,ascension;Jesus;clouds;disciples;Acts;Acts 1:9-11;New Testament;kids coloring
160,Dove Descending (Holy Spirit),dove-descending-holy-spirit,Jesus' Ministry & Passion,NT,Matthew 3:16,"A gentle dove descends from heaven, symbolizing the Holy Spirit at Jesus’ baptism.",Holy Spirit;dove;baptism;Jesus;Matthew;Matthew 3:16;New Testament;kids coloring;symbolic;simple outlines
161,Pentecost Dove and Flames (Kid-Friendly),pentecost-dove-and-flames-kid-friendly,Early Church & Acts,NT,Acts 2:1-4,A gentle dove and small flame shapes symbolize the Holy Spirit coming at Pentecost.,Pentecost;Holy Spirit;dove;flames;upper room;Acts;Acts 2:1-4;New Testament;kids coloring;symbolic;simple outlines
162,Apostles Praying Together,apostles-praying-together,Early Church & Acts,NT,Acts 1:14,The apostles gather in a room and pray together with unity and faith.,apostles;prayer;upper room;unity;Acts;Acts 1:14;New Testament;kids coloring;simple outlines
163,Paul on the Road to Damascus,paul-on-the-road-to-damascus,Early Church & Acts,NT,Acts 9:3-6,A bright light shines around Paul as he meets Jesus on the road to Damascus.,Paul;Damascus;bright light;Jesus;conversion;Acts;Acts 9:3-6;New Testament;kids coloring
164,Paul Escaping in a Basket,paul-escaping-in-a-basket,Early Church & Acts,NT,Acts 9:25,Paul is lowered safely over the city wall in a large basket.,Paul;basket;escape;Damascus;disciples;Acts;Acts 9:25;New Testament;kids coloring;simple outlines
165,Paul Sailing on a Ship,paul-sailing-on-a-ship,Early Church & Acts,NT,Acts 27:1-2,Paul sails across the sea on a wooden ship during his journey.,Paul;ship;sea;journey;voyage;Acts;Acts 27:1-2;New Testament;kids coloring;simple outlines
166,Paul Preaching to Crowds,paul-preaching-to-crowds,Early Church & Acts,NT,Acts 14:1,Paul stands before a group of people and teaches them about Jesus.,Paul;preaching;crowd;teaching;gospel;Acts;Acts 14:1;New Testament;kids coloring
167,Peter Healing a Lame Man,peter-healing-a-lame-man,Early Church & Acts,NT,Acts 3:6-8,Peter helps a man who could not walk rise to his feet through Jesus’ power.,Peter;healing;lame man;miracle;temple gate;Acts;Acts 3:6-8;New Testament;kids coloring
168,Peter Walking Out of Prison with Angel,peter-walking-out-of-prison-with-angel,Early Church & Acts,NT,Acts 12:7-10,An angel leads Peter out of the prison quietly in the night.,Peter;angel;prison;escape;miracle;Acts;Acts 12:7-10;New Testament;kids coloring
169,Early Believers Praying Together,early-believers-praying-together,Early Church & Acts,NT,Acts 2:42,"Early Christians gather to pray, learn, and share fellowship with glad hearts.",believers;prayer;fellowship;Acts;Acts 2:42;New Testament;kids coloring;simple outlines
170,Ethiopian Eunuch in Chariot (Kid-Friendly),ethiopian-eunuch-in-chariot-kid-friendly,Early Church & Acts,NT,Acts 8:27-31,The Ethiopian official rides in his chariot reading Scripture as Philip approaches.,Ethiopian eunuch;Philip;chariot;scroll;Isaiah;Acts;Acts 8:27-31;New Testament;kids coloring
171,Paul Writing Letters,paul-writing-letters,Early Church & Acts,NT,Romans 1:1,Paul sits with a scroll and pen as he writes letters to teach and encourage churches.,Paul;letters;scroll;writing;epistles;Romans;Romans 1:1;New Testament;kids coloring
172,Barnabas Encouraging Someone,barnabas-encouraging-someone,Early Church & Acts,NT,Acts 11:23-24,Barnabas kindly encourages a believer with a warm smile and gentle posture.,Barnabas;encouragement;believers;Acts;Acts 11:23-24;New Testament;kids coloring
173,Early Believers Sharing Food,early-believers-sharing-food,Early Church & Acts,NT,Acts 2:46,The early church members share meals with glad and generous hearts.,believers;sharing;food;community;Acts;Acts 2:46;New Testament;kids coloring
174,Paul and Silas Singing in Jail,paul-and-silas-singing-in-jail,Early Church & Acts,NT,Acts 16:25,Paul and Silas sing praises to God while sitting together in a jail cell.,Paul;Silas;jail;singing;praise;Acts;Acts 16:25;New Testament;kids coloring
175,Lydia by the River,lydia-by-the-river,Early Church & Acts,NT,Acts 16:13-15,Lydia listens to Paul by the riverbank and opens her heart to God’s word.,Lydia;river;Paul;baptism theme;Acts;Acts 16:13-15;New Testament;kids coloring;simple outlines
176,Philip Baptizing the Ethiopian Eunuch,philip-baptizing-the-ethiopian-eunuch,Early Church & Acts,NT,Acts 8:36-38,Philip and the Ethiopian step into the water as Philip baptizes him.,Philip;Ethiopian eunuch;baptism;water;Acts;Acts 8:36-38;New Testament;kids coloring
177,Peter’s Vision of the Sheet of Animals,peter-s-vision-of-the-sheet-of-animals,Early Church & Acts,NT,Acts 10:11-12,Peter sees a sheet lowered from heaven filled with many animals in a symbolic vision.,Peter;vision;animals;sheet;Acts;Acts 10:11-12;New Testament;kids coloring;friendly animals
178,Paul Shipwreck (Kid-Friendly Waves),paul-shipwreck-kid-friendly-waves,Early Church & Acts,NT,Acts 27:41-44,"Paul stands on a wooden ship as it faces strong waves in a gentle, kid-safe scene.",Paul;shipwreck;waves;ship;journey;Acts;Acts 27:41-44;New Testament;kids coloring
179,Paul Wearing Armor of God Imagery,paul-wearing-armor-of-god-imagery,Early Church & Acts,NT,Ephesians 6:10-17,"Paul stands wearing symbolic armor—truth, faith, righteousness, and peace.",Paul;armor of God;shield;helmet;Ephesians;Ephesians 6:10-17;New Testament;kids coloring;symbolic
180,New Jerusalem Symbolic City,new-jerusalem-symbolic-city,Early Church & Acts,NT,Revelation 21:1-4,"A bright, simplified city represents the New Jerusalem with shining gates and light.",New Jerusalem;city;Revelation;Revelation 21:1-4;symbolic;heaven;New Testament;kids coloring;simple outlines
181,Sheep Flock with Shepherd,sheep-flock-with-shepherd,Animals & Nature,OT,Psalm 23:1,A gentle shepherd stands with a calm flock of sheep in a peaceful pasture.,sheep;shepherd;Psalm 23;Psalm 23:1;pasture;Old Testament;kids coloring;friendly animals
182,Lion with Crown (Symbol of Judah),lion-with-crown-symbol-of-judah,Animals & Nature,OT,Genesis 49:9-10,"A friendly lion sits proudly wearing a small crown, symbolizing the tribe of Judah.",lion;Judah;crown;Genesis;Genesis 49:9-10;Old Testament;kids coloring;symbolic
183,Ox and Donkey,ox-and-donkey,Animals & Nature,OT,Isaiah 1:3,A gentle ox and donkey stand side by side in a kid-friendly stable scene.,ox;donkey;animals;Isaiah;Isaiah 1:3;Old Testament;kids coloring;friendly animals
184,Whale (for Jonah Scenes),whale-for-jonah-scenes,Animals & Nature,OT,Jonah 1:17,"A large, playful whale swims with a friendly expression, inspired by Jonah’s story.",whale;fish;Jonah;sea;Jonah 1:17;Old Testament;kids coloring;friendly animals
185,Dove with Olive Branch,dove-with-olive-branch,Animals & Nature,OT,Genesis 8:11,"A peaceful dove carries an olive branch, symbolizing God’s promise after the flood.",dove;olive branch;Noah;ark;peace;Genesis;Genesis 8:11;Old Testament;kids coloring
186,Camel with Blankets,camel-with-blankets,Animals & Nature,OT,Genesis 24:10,"A decorated camel carries soft blankets, often used in long desert journeys.",camel;blankets;desert;travel;Genesis;Genesis 24:10;Old Testament;kids coloring;friendly animals
187,Fish and Bread Basket,fish-and-bread-basket,Animals & Nature,NT,Matthew 14:17-20,A simple basket filled with fish and bread represents Jesus’ miracle feeding the crowd.,"fish;bread;basket;miracle;Feeding the 5,000;Matthew;Matthew 14:17-20;New Testament;kids coloring"
188,Friendly Lion in the Den,friendly-lion-in-the-den,Animals & Nature,OT,Daniel 6:22,"A gentle lion sits calmly in the den, inspired by Daniel’s story.",lion;Daniel;den;friendly animals;Daniel 6:22;Old Testament;kids coloring
189,Two Birds Feeding Chicks,two-birds-feeding-chicks,Animals & Nature,OT,Psalm 84:3,Two parent birds feed their little chicks in a nest high on a branch.,birds;nest;chicks;Psalm;Psalm 84:3;Old Testament;kids coloring
190,Donkey with Big Ears,donkey-with-big-ears,Animals & Nature,NT,Matthew 21:7,"A friendly donkey with big ears stands ready, inspired by Jesus’ Palm Sunday entry.",donkey;Jesus;Palm Sunday;Matthew;Matthew 21:7;New Testament;kids coloring;friendly animals
191,Rooster Crowing,rooster-crowing,Animals & Nature,NT,Matthew 26:74-75,A rooster stands on a fence crowing loudly in a simple farm scene.,rooster;Peter;crow;farm;Matthew;Matthew 26:74-75;New Testament;kids coloring
192,Turtle Dove Pair,turtle-dove-pair,Animals & Nature,NT,Luke 2:24,"A pair of gentle turtle doves sit together, inspired by Mary and Joseph’s temple offering.",turtle doves;birds;Mary;Joseph;temple;Luke;Luke 2:24;New Testament;kids coloring
193,Birds in the Parable of the Sower,birds-in-the-parable-of-the-sower,Animals & Nature,NT,Matthew 13:4,"Birds peck at seeds along a path, illustrating part of Jesus’ parable.",birds;seeds;path;parable;Sower;Matthew;Matthew 13:4;New Testament;kids coloring
194,Ants Carrying Grain,ants-carrying-grain,Animals & Nature,OT,Proverbs 6:6-8,A line of hardworking ants carry tiny grains in a simple nature scene.,ants;grain;work;Proverbs;Proverbs 6:6-8;Old Testament;kids coloring;simple outlines
195,Bees Around a Flower,bees-around-a-flower,Animals & Nature,OT,Exodus 3:8,"Bees buzz gently around a flower, symbolizing the promised land flowing with honey.",bees;flower;honey;promised land;Exodus;Exodus 3:8;Old Testament;kids coloring
196,Cross with Flowers,cross-with-flowers,Symbols & Simple Scenes,NT,1 Corinthians 1:18,A simple cross decorated with gentle flowers represents hope and new life.,cross;flowers;symbol;hope;1 Corinthians 1:18;New Testament;kids coloring;simple outlines
197,Empty Tomb with Sunrise,empty-tomb-with-sunrise,Symbols & Simple Scenes,NT,Luke 24:1-3,"A peaceful sunrise rises behind the empty tomb, symbolizing Jesus’ resurrection.",empty tomb;sunrise;resurrection;Jesus;Luke;Luke 24:1-3;New Testament;kids coloring
198,Olive Branch,olive-branch,Symbols & Simple Scenes,OT,Genesis 8:11,A simple olive branch represents peace and God’s promise after the flood.,olive branch;dove;peace;Noah;Genesis;Genesis 8:11;Old Testament;kids coloring;symbolic
199,Bible with Rays (Simple Outline),bible-with-rays-simple-outline,Symbols & Simple Scenes,NT,Psalm 119:105,A Bible with soft rays shining behind it represents God’s Word bringing light.,Bible;rays;light;Psalm;Psalm 119:105;New Testament theme;kids coloring;symbolic
200,Heart and Cross (Christian Symbol),heart-and-cross-christian-symbol,Symbols & Simple Scenes,NT,John 3:16,A heart and cross show God’s love for the world in a simple and friendly symbol.,heart;cross;love;Jesus;John 3:16;New Testament;kids coloring;simple outlines
